"id";"temperatureVal";"currentVal";"vibrationVal";"rpmVal";"receivedTime"
13625;31.55;0.02;0.0;0;"2016-04-09 15:44:56"
13626;31.57;0.02;0.0;0;"2016-04-09 15:44:56"
13627;31.61;0.02;0.0;0;"2016-04-09 15:44:56"
13628;31.55;0.02;0.0;0;"2016-04-09 15:44:56"
13629;31.57;0.5;0.0;0;"2016-04-09 15:44:57"
13630;31.57;0.55;0.0;0;"2016-04-09 15:44:57"
13631;31.61;0.64;0.0;0;"2016-04-09 15:44:57"
13632;31.61;0.71;0.0;0;"2016-04-09 15:44:57"
13633;31.55;0.88;0.0;39;"2016-04-09 15:44:57"
13634;31.55;0.91;0.0;39;"2016-04-09 15:44:58"
13635;31.57;0.92;0.0;39;"2016-04-09 15:44:58"
13636;31.55;1.13;0.0;39;"2016-04-09 15:44:58"
13637;31.55;1.24;0.0;216;"2016-04-09 15:44:58"
13638;31.57;1.22;0.0;216;"2016-04-09 15:44:58"
13639;31.61;0.91;0.0;216;"2016-04-09 15:44:59"
13640;31.57;0.79;0.0;216;"2016-04-09 15:44:59"
13641;31.55;0.75;0.0;726;"2016-04-09 15:45:00"
13642;31.61;0.65;0.0;1353;"2016-04-09 15:45:00"
13643;31.57;0.71;0.0;1353;"2016-04-09 15:45:01"
13644;31.55;0.65;0.0;1353;"2016-04-09 15:45:01"
13645;31.61;0.63;0.0;1962;"2016-04-09 15:45:01"
13646;31.55;0.63;0.0;1962;"2016-04-09 15:45:02"
13647;31.57;0.64;0.0;1962;"2016-04-09 15:45:02"
13648;31.55;0.64;0.0;1962;"2016-04-09 15:45:02"
13649;31.55;0.68;0.0;2991;"2016-04-09 15:45:03"
13650;31.55;0.68;0.0;2991;"2016-04-09 15:45:04"
13651;31.57;0.75;0.0;2991;"2016-04-09 15:45:04"
13652;31.61;0.74;0.0;2991;"2016-04-09 15:45:04"
13653;31.61;0.73;0.0;3144;"2016-04-09 15:45:04"
13654;31.57;0.78;0.0;3144;"2016-04-09 15:45:04"
13655;31.57;0.77;0.0;3144;"2016-04-09 15:45:05"
13656;31.57;0.78;0.0;3144;"2016-04-09 15:45:05"
13657;31.63;0.74;0.0;3144;"2016-04-09 15:45:05"
13658;31.61;0.77;0.0;3144;"2016-04-09 15:45:05"
13659;31.61;0.77;0.0;3144;"2016-04-09 15:45:05"
13660;31.61;0.76;0.0;3144;"2016-04-09 15:45:05"
13661;31.61;0.76;0.0;3189;"2016-04-09 15:45:05"
13662;31.63;0.76;0.0;3189;"2016-04-09 15:45:05"
13663;31.61;0.77;0.0;3189;"2016-04-09 15:45:06"
13664;31.57;0.79;0.0;3189;"2016-04-09 15:45:06"
13665;31.58;0.76;0.0;3189;"2016-04-09 15:45:06"
13666;31.63;0.75;0.0;3189;"2016-04-09 15:45:06"
13667;31.63;0.75;0.0;3246;"2016-04-09 15:45:06"
13668;31.63;0.76;0.0;3246;"2016-04-09 15:45:06"
13669;31.63;0.77;0.0;3246;"2016-04-09 15:45:06"
13670;31.63;0.78;0.0;3246;"2016-04-09 15:45:07"
13671;31.61;0.78;0.0;3246;"2016-04-09 15:45:07"
13672;31.63;0.8;0.0;3246;"2016-04-09 15:45:07"
13673;31.63;0.83;0.0;3246;"2016-04-09 15:45:07"
13674;31.61;0.79;0.0;3351;"2016-04-09 15:45:08"
13675;31.67;0.76;0.0;3402;"2016-04-09 15:45:09"
13676;31.67;0.78;0.0;3402;"2016-04-09 15:45:09"
13677;31.63;0.75;0.0;3402;"2016-04-09 15:45:09"
13678;31.67;0.74;0.0;3429;"2016-04-09 15:45:09"
13679;31.61;0.74;0.0;3429;"2016-04-09 15:45:09"
13680;31.63;0.8;0.0;3429;"2016-04-09 15:45:10"
13681;31.63;0.74;0.0;3429;"2016-04-09 15:45:10"
13682;31.64;0.76;0.0;3447;"2016-04-09 15:45:10"
13683;31.67;0.85;0.0;3447;"2016-04-09 15:45:11"
13684;31.67;0.84;0.0;3447;"2016-04-09 15:45:11"
13685;31.63;0.8;0.0;3447;"2016-04-09 15:45:11"
13686;31.67;0.82;0.0;3447;"2016-04-09 15:45:11"
13687;31.67;0.8;0.0;3474;"2016-04-09 15:45:11"
13688;31.63;0.85;0.0;3474;"2016-04-09 15:45:12"
13689;31.64;0.81;0.0;3474;"2016-04-09 15:45:12"
13690;31.67;0.81;0.0;3474;"2016-04-09 15:45:12"
13691;31.67;0.83;0.0;3462;"2016-04-09 15:45:12"
13692;31.69;0.81;0.0;3462;"2016-04-09 15:45:13"
13693;31.69;0.81;0.0;3462;"2016-04-09 15:45:13"
13694;31.69;0.8;0.0;3462;"2016-04-09 15:45:13"
13695;31.69;0.82;0.0;3549;"2016-04-09 15:45:14"
13696;31.69;0.83;0.0;3549;"2016-04-09 15:45:14"
13697;31.69;0.8;0.0;3549;"2016-04-09 15:45:15"
13698;31.69;0.86;0.0;3549;"2016-04-09 15:45:15"
13699;31.69;0.86;0.0;3549;"2016-04-09 15:45:15"
13700;31.69;0.81;0.0;3588;"2016-04-09 15:45:15"
13701;31.71;0.86;0.0;3588;"2016-04-09 15:45:15"
13702;31.69;0.86;0.0;3588;"2016-04-09 15:45:15"
13703;31.68;0.83;0.0;3588;"2016-04-09 15:45:16"
13704;31.71;0.81;0.0;3588;"2016-04-09 15:45:16"
13705;31.69;0.8;0.0;3588;"2016-04-09 15:45:16"
13706;31.71;0.8;0.0;3609;"2016-04-09 15:45:16"
13707;31.69;0.86;0.0;3609;"2016-04-09 15:45:17"
13708;31.71;0.89;0.0;3609;"2016-04-09 15:45:17"
13709;31.71;0.87;0.0;3678;"2016-04-09 15:45:18"
13710;31.71;0.88;0.0;3678;"2016-04-09 15:45:18"
13711;31.72;0.81;0.0;3735;"2016-04-09 15:45:20"
13712;31.75;0.82;0.0;3735;"2016-04-09 15:45:20"
13713;31.75;0.81;0.0;3735;"2016-04-09 15:45:20"
13714;31.75;0.86;0.0;3735;"2016-04-09 15:45:20"
13715;31.81;0.85;0.0;3831;"2016-04-09 15:45:21"
13716;31.77;0.81;0.0;3831;"2016-04-09 15:45:22"
13717;31.77;0.85;0.0;3831;"2016-04-09 15:45:22"
13718;31.77;0.8;0.0;3831;"2016-04-09 15:45:22"
13719;31.79;0.81;0.0;3858;"2016-04-09 15:45:23"
13720;31.77;0.82;0.0;3858;"2016-04-09 15:45:23"
13721;31.79;0.86;0.0;3858;"2016-04-09 15:45:24"
13722;31.81;0.9;0.0;3858;"2016-04-09 15:45:24"
13723;31.75;0.83;0.0;3858;"2016-04-09 15:45:24"
13724;31.81;0.81;0.0;3840;"2016-04-09 15:45:25"
13725;31.83;0.79;0.0;3888;"2016-04-09 15:45:25"
13726;31.83;0.8;0.0;3888;"2016-04-09 15:45:25"
13727;31.83;0.81;0.0;3888;"2016-04-09 15:45:26"
13728;31.83;0.8;0.0;3888;"2016-04-09 15:45:26"
13729;31.83;0.82;0.0;3888;"2016-04-09 15:45:26"
13730;31.83;0.8;0.0;3888;"2016-04-09 15:45:26"
13731;31.85;0.8;0.0;3873;"2016-04-09 15:45:27"
13732;31.83;0.82;0.0;3873;"2016-04-09 15:45:27"
13733;31.85;0.8;0.0;3873;"2016-04-09 15:45:27"
13734;31.85;0.8;0.0;3840;"2016-04-09 15:45:28"
13735;31.85;0.79;0.0;3840;"2016-04-09 15:45:28"
13736;31.85;0.78;0.0;3840;"2016-04-09 15:45:28"
13737;31.85;0.79;0.0;3840;"2016-04-09 15:45:28"
13738;31.85;0.75;0.0;3804;"2016-04-09 15:45:28"
13739;31.89;0.74;0.0;3804;"2016-04-09 15:45:28"
13740;31.85;0.62;0.0;3696;"2016-04-09 15:45:29"
13741;31.89;0.64;0.0;3696;"2016-04-09 15:45:30"
13742;31.89;0.62;0.0;3696;"2016-04-09 15:45:30"
13743;31.91;0.62;0.0;3696;"2016-04-09 15:45:30"
13744;31.87;0.62;0.0;3696;"2016-04-09 15:45:30"
13745;31.88;0.61;0.0;3549;"2016-04-09 15:45:30"
13746;31.89;0.61;0.0;3549;"2016-04-09 15:45:30"
13747;31.95;0.02;0.0;3549;"2016-04-09 15:45:31"
13748;31.97;0.02;0.0;3303;"2016-04-09 15:45:31"
13749;31.91;0.02;0.0;3303;"2016-04-09 15:45:31"
13750;31.91;0.02;0.0;3303;"2016-04-09 15:45:31"
13751;31.95;0.02;0.0;3303;"2016-04-09 15:45:32"
13752;31.97;0.02;0.0;2862;"2016-04-09 15:45:32"
13753;31.97;0.02;0.0;2862;"2016-04-09 15:45:32"
13754;31.95;0.02;0.0;2862;"2016-04-09 15:45:33"
13755;31.97;1.12;0.0;420;"2016-04-09 15:46:42"
13756;31.97;0.72;0.0;420;"2016-04-09 15:46:42"
13757;31.97;0.67;0.0;1005;"2016-04-09 15:46:43"
13758;31.97;0.66;0.0;1005;"2016-04-09 15:46:43"
13759;31.97;0.62;0.0;1611;"2016-04-09 15:46:44"
13760;31.97;0.63;0.0;1611;"2016-04-09 15:46:44"
13761;31.97;0.67;0.0;1611;"2016-04-09 15:46:44"
13762;31.99;0.63;0.0;2217;"2016-04-09 15:46:45"
13763;31.99;0.63;0.0;2217;"2016-04-09 15:46:45"
13764;31.99;0.67;0.0;2217;"2016-04-09 15:46:45"
13765;31.99;0.64;0.0;2217;"2016-04-09 15:46:45"
13766;31.99;0.64;0.0;2217;"2016-04-09 15:46:45"
13767;31.99;0.64;0.0;2751;"2016-04-09 15:46:45"
13768;31.99;0.7;0.0;2751;"2016-04-09 15:46:45"
13769;31.99;0.67;0.0;2751;"2016-04-09 15:46:45"
13770;31.99;0.66;0.0;2751;"2016-04-09 15:46:46"
13771;32.03;0.63;0.0;2751;"2016-04-09 15:46:46"
13772;31.99;0.67;0.0;2751;"2016-04-09 15:46:46"
13773;31.97;0.78;0.0;3072;"2016-04-09 15:46:46"
13774;31.95;0.85;0.0;3072;"2016-04-09 15:46:47"
13775;31.97;0.78;0.0;3072;"2016-04-09 15:46:47"
13776;31.99;0.78;0.0;3150;"2016-04-09 15:46:47"
13777;31.99;0.78;0.0;3150;"2016-04-09 15:46:47"
13778;32.0;0.79;0.0;3150;"2016-04-09 15:46:47"
13779;32.03;0.8;0.0;3150;"2016-04-09 15:46:47"
13780;31.99;0.8;0.0;3150;"2016-04-09 15:46:48"
13781;31.99;0.81;0.0;3150;"2016-04-09 15:46:48"
13782;31.99;0.81;0.0;3261;"2016-04-09 15:46:49"
13783;32.05;0.81;0.0;3261;"2016-04-09 15:46:49"
13784;31.99;0.81;0.0;3390;"2016-04-09 15:46:50"
13785;32.03;0.9;0.0;3483;"2016-04-09 15:46:51"
13786;32.06;0.85;0.0;3612;"2016-04-09 15:46:51"
13787;32.09;0.86;0.0;3612;"2016-04-09 15:46:52"
13788;32.1;0.81;0.0;3810;"2016-04-09 15:46:53"
13789;32.11;0.81;0.0;3810;"2016-04-09 15:46:54"
13790;32.09;0.82;0.0;3810;"2016-04-09 15:46:54"
13791;32.09;0.87;0.0;3810;"2016-04-09 15:46:54"
13792;32.09;0.85;0.0;3816;"2016-04-09 15:46:54"
13793;32.11;0.81;0.0;3816;"2016-04-09 15:46:55"
13794;32.11;0.81;0.0;3816;"2016-04-09 15:46:55"
13795;32.11;0.81;0.0;3816;"2016-04-09 15:46:55"
13796;32.09;0.89;0.0;3876;"2016-04-09 15:46:55"
13797;32.11;0.82;0.0;3891;"2016-04-09 15:46:57"
13798;32.11;0.81;0.0;3891;"2016-04-09 15:46:57"
13799;32.11;0.83;0.0;3891;"2016-04-09 15:46:57"
13800;32.11;0.82;0.0;3876;"2016-04-09 15:46:57"
13801;32.11;0.82;0.0;3876;"2016-04-09 15:46:58"
13802;32.13;0.83;0.0;3876;"2016-04-09 15:46:58"
13803;32.11;0.87;0.0;3876;"2016-04-09 15:46:58"
13804;32.14;0.84;0.0;3840;"2016-04-09 15:46:59"
13805;32.17;0.86;0.0;3840;"2016-04-09 15:46:59"
13806;32.14;0.83;0.0;3807;"2016-04-09 15:47:00"
13807;32.17;0.81;0.0;3807;"2016-04-09 15:47:01"
13808;32.19;0.84;0.0;3807;"2016-04-09 15:47:01"
13809;32.17;0.84;0.0;3807;"2016-04-09 15:47:01"
13810;32.17;0.82;0.0;3807;"2016-04-09 15:47:01"
13811;32.17;0.81;0.0;3801;"2016-04-09 15:47:01"
13812;32.19;0.81;0.0;3801;"2016-04-09 15:47:01"
13813;32.17;0.78;0.0;3801;"2016-04-09 15:47:01"
13814;32.13;0.8;0.0;3801;"2016-04-09 15:47:02"
13815;32.19;0.85;0.0;3801;"2016-04-09 15:47:02"
13816;32.13;0.85;0.0;3804;"2016-04-09 15:47:02"
13817;32.19;0.87;0.0;3804;"2016-04-09 15:47:03"
13818;32.25;0.82;0.0;3804;"2016-04-09 15:47:03"
13819;32.25;0.83;0.0;3804;"2016-04-09 15:47:03"
13820;32.21;0.91;0.0;3837;"2016-04-09 15:47:03"
13821;32.21;0.87;0.0;3837;"2016-04-09 15:47:03"
13822;32.22;0.8;0.0;3837;"2016-04-09 15:47:04"
13823;32.19;0.8;0.0;3837;"2016-04-09 15:47:04"
13824;32.25;0.38;0.0;3804;"2016-04-09 15:47:06"
13825;32.27;0.02;0.0;3531;"2016-04-09 15:47:06"
13826;32.33;0.89;0.0;0;"2016-04-09 15:47:48"
13827;32.33;1.21;0.0;48;"2016-04-09 15:47:48"
13828;32.31;1.3;0.0;48;"2016-04-09 15:47:49"
13829;32.31;1.03;0.0;48;"2016-04-09 15:47:49"
13830;32.33;0.95;0.0;396;"2016-04-09 15:47:49"
13831;32.31;0.83;0.0;396;"2016-04-09 15:47:49"
13832;32.31;0.75;0.0;396;"2016-04-09 15:47:50"
13833;32.33;0.75;0.0;1014;"2016-04-09 15:47:50"
13834;32.33;0.75;0.0;1014;"2016-04-09 15:47:50"
13835;32.31;0.73;0.0;1014;"2016-04-09 15:47:51"
13836;32.33;0.78;0.0;1665;"2016-04-09 15:47:51"
13837;32.33;0.78;0.0;1665;"2016-04-09 15:47:51"
13838;32.31;0.71;0.0;1665;"2016-04-09 15:47:51"
13839;32.31;0.77;0.0;1665;"2016-04-09 15:47:52"
13840;32.33;0.79;0.0;2358;"2016-04-09 15:47:52"
13841;32.35;0.74;0.0;2358;"2016-04-09 15:47:52"
13842;32.35;0.71;0.0;2358;"2016-04-09 15:47:52"
13843;32.33;0.74;0.0;2358;"2016-04-09 15:47:53"
13844;32.33;0.71;0.0;2358;"2016-04-09 15:47:53"
13845;32.35;0.7;0.0;2979;"2016-04-09 15:47:53"
13846;32.39;0.7;0.0;2979;"2016-04-09 15:47:54"
13847;32.33;0.72;0.0;3300;"2016-04-09 15:47:54"
13848;32.33;0.75;0.0;3300;"2016-04-09 15:47:55"
13849;32.41;0.71;0.0;3384;"2016-04-09 15:47:56"
13850;32.39;0.72;0.0;3453;"2016-04-09 15:47:56"
13851;32.35;0.72;0.0;3459;"2016-04-09 15:47:57"
13852;32.35;0.71;0.0;3459;"2016-04-09 15:47:57"
13853;32.39;0.71;0.0;3459;"2016-04-09 15:47:57"
13854;32.35;0.72;0.0;3459;"2016-04-09 15:47:58"
13855;32.38;0.73;0.0;3498;"2016-04-09 15:47:58"
13856;32.35;0.71;0.0;3498;"2016-04-09 15:47:58"
13857;32.35;0.72;0.0;3498;"2016-04-09 15:47:59"
13858;32.35;0.74;0.0;3498;"2016-04-09 15:47:59"
13859;32.35;0.71;0.0;3498;"2016-04-09 15:47:59"
13860;32.39;0.73;0.0;3552;"2016-04-09 15:47:59"
13861;32.39;0.79;0.0;3552;"2016-04-09 15:48:00"
13862;32.35;0.72;0.0;3552;"2016-04-09 15:48:00"
13863;32.45;0.78;0.0;3552;"2016-04-09 15:48:00"
13864;32.39;0.73;0.0;3552;"2016-04-09 15:48:00"
13865;32.36;0.76;0.0;3552;"2016-04-09 15:48:00"
13866;32.41;0.72;0.0;3552;"2016-04-09 15:48:01"
13867;32.41;0.73;0.0;3552;"2016-04-09 15:48:01"
13868;32.41;0.72;0.0;3552;"2016-04-09 15:48:01"
13869;32.41;0.73;0.0;3552;"2016-04-09 15:48:01"
13870;32.41;0.71;0.0;3552;"2016-04-09 15:48:01"
13871;32.45;0.71;0.0;3573;"2016-04-09 15:48:01"
13872;32.47;0.7;0.0;3573;"2016-04-09 15:48:01"
13873;32.47;0.69;0.0;3573;"2016-04-09 15:48:02"
13874;32.45;0.74;0.0;3573;"2016-04-09 15:48:02"
13875;32.45;0.72;0.0;3573;"2016-04-09 15:48:02"
13876;32.45;0.76;0.0;3573;"2016-04-09 15:48:02"
13877;32.45;0.71;0.0;3558;"2016-04-09 15:48:02"
13878;32.45;0.72;0.0;3558;"2016-04-09 15:48:02"
13879;32.45;0.79;0.0;3558;"2016-04-09 15:48:03"
13880;32.45;0.72;0.0;3558;"2016-04-09 15:48:03"
13881;32.45;0.71;0.0;3558;"2016-04-09 15:48:03"
13882;32.45;0.71;0.0;3558;"2016-04-09 15:48:03"
13883;32.45;0.72;0.0;3558;"2016-04-09 15:48:03"
13884;32.45;0.75;0.0;3558;"2016-04-09 15:48:03"
13885;32.47;0.72;0.0;3543;"2016-04-09 15:48:03"
13886;32.47;0.73;0.0;3543;"2016-04-09 15:48:03"
13887;32.45;0.72;0.0;3543;"2016-04-09 15:48:03"
13888;32.45;0.72;0.0;3543;"2016-04-09 15:48:04"
13889;32.47;0.76;0.0;3543;"2016-04-09 15:48:04"
13890;32.49;0.74;0.0;3543;"2016-04-09 15:48:04"
13891;32.45;0.73;0.0;3498;"2016-04-09 15:48:04"
13892;32.47;0.71;0.0;3498;"2016-04-09 15:48:05"
13893;32.45;0.71;0.0;3495;"2016-04-09 15:48:05"
13894;32.45;0.78;0.0;3495;"2016-04-09 15:48:05"
13895;32.47;0.72;0.0;3495;"2016-04-09 15:48:05"
13896;32.47;0.74;0.0;3495;"2016-04-09 15:48:06"
13897;32.45;0.7;0.0;3432;"2016-04-09 15:48:06"
13898;32.47;0.72;0.0;3468;"2016-04-09 15:48:07"
13899;32.47;0.71;0.0;3468;"2016-04-09 15:48:09"
13900;32.55;0.7;0.0;3468;"2016-04-09 15:48:09"
13901;32.55;0.74;0.0;3537;"2016-04-09 15:48:09"
13902;32.5;0.71;0.0;3537;"2016-04-09 15:48:09"
13903;32.55;0.76;0.0;3546;"2016-04-09 15:48:11"
13904;32.55;0.68;0.0;3546;"2016-04-09 15:48:11"
13905;32.55;0.67;0.0;3576;"2016-04-09 15:48:11"
13906;32.59;0.02;0.0;3531;"2016-04-09 15:48:13"
13907;32.59;0.02;0.0;3273;"2016-04-09 15:48:14"
13908;32.59;0.02;0.0;2745;"2016-04-09 15:48:14"
13909;32.59;0.02;0.0;2745;"2016-04-09 15:48:14"
13910;32.59;0.03;0.0;2745;"2016-04-09 15:48:15"
13911;32.59;0.02;0.0;2082;"2016-04-09 15:48:16"
13912;32.56;0.02;0.0;1374;"2016-04-09 15:48:16"
13913;32.61;0.02;0.0;1374;"2016-04-09 15:48:17"
13914;32.61;0.02;0.0;1374;"2016-04-09 15:48:17"
13915;32.39;0.89;0.0;12;"2016-04-09 15:50:43"
13916;32.39;1.15;0.0;12;"2016-04-09 15:50:43"
13917;32.39;1.07;0.0;147;"2016-04-09 15:50:43"
13918;32.41;1.25;0.0;147;"2016-04-09 15:50:43"
13919;32.41;1.13;0.0;147;"2016-04-09 15:50:44"
13920;32.39;0.95;0.0;147;"2016-04-09 15:50:44"
13921;32.39;0.66;0.0;1215;"2016-04-09 15:50:45"
13922;32.4;0.63;0.0;2550;"2016-04-09 15:50:47"
13923;32.39;0.66;0.0;2550;"2016-04-09 15:50:47"
13924;32.41;0.71;0.0;3099;"2016-04-09 15:50:49"
13925;32.41;0.71;0.0;3099;"2016-04-09 15:50:49"
13926;32.41;0.74;0.0;3408;"2016-04-09 15:50:49"
13927;32.41;0.78;0.0;3408;"2016-04-09 15:50:50"
13928;32.41;0.77;0.0;3408;"2016-04-09 15:50:50"
13929;32.41;0.78;0.0;3408;"2016-04-09 15:50:50"
13930;32.41;0.8;0.0;3492;"2016-04-09 15:50:50"
13931;32.41;0.82;0.0;3492;"2016-04-09 15:50:50"
13932;32.41;0.81;0.0;3492;"2016-04-09 15:50:51"
13933;32.41;0.79;0.0;3558;"2016-04-09 15:50:51"
13934;32.41;0.82;0.0;3558;"2016-04-09 15:50:51"
13935;32.41;0.87;0.0;3651;"2016-04-09 15:50:53"
13936;32.41;0.85;0.0;3762;"2016-04-09 15:50:53"
13937;32.41;0.87;0.0;3816;"2016-04-09 15:50:55"
13938;32.41;0.86;0.0;3816;"2016-04-09 15:50:55"
13939;32.41;0.86;0.0;3816;"2016-04-09 15:50:55"
13940;32.41;0.85;0.0;3900;"2016-04-09 15:50:55"
13941;32.41;0.86;0.0;3900;"2016-04-09 15:50:56"
13942;32.41;0.81;0.0;3900;"2016-04-09 15:50:56"
13943;32.41;0.73;0.0;4032;"2016-04-09 15:50:56"
13944;32.41;0.83;0.0;4032;"2016-04-09 15:50:57"
13945;32.41;0.82;0.0;3987;"2016-04-09 15:50:57"
13946;32.41;0.84;0.0;3987;"2016-04-09 15:50:57"
13947;32.41;0.8;0.0;3987;"2016-04-09 15:50:57"
13948;32.41;0.8;0.0;3987;"2016-04-09 15:50:58"
13949;32.45;0.85;0.0;3987;"2016-04-09 15:50:59"
13950;32.47;0.84;0.0;4065;"2016-04-09 15:51:00"
13951;32.49;0.84;0.0;3978;"2016-04-09 15:51:01"
13952;32.49;0.72;0.0;4062;"2016-04-09 15:51:03"
13953;32.53;0.68;0.0;4062;"2016-04-09 15:51:03"
13954;32.49;0.65;0.0;4047;"2016-04-09 15:51:03"
13955;32.49;0.65;0.0;4047;"2016-04-09 15:51:03"
13956;32.49;0.65;0.0;4047;"2016-04-09 15:51:03"
13957;32.53;0.7;0.0;4047;"2016-04-09 15:51:04"
13958;32.53;0.65;0.0;3882;"2016-04-09 15:51:04"
13959;32.53;0.43;0.0;3882;"2016-04-09 15:51:05"
13960;32.53;0.1;0.0;3882;"2016-04-09 15:51:05"
13961;32.49;0.02;0.0;3630;"2016-04-09 15:51:05"
13962;32.53;0.02;0.0;3630;"2016-04-09 15:51:05"
13963;32.53;0.02;0.0;3630;"2016-04-09 15:51:05"
13964;32.55;0.02;0.0;3207;"2016-04-09 15:51:07"
13965;32.55;0.02;0.0;3207;"2016-04-09 15:51:07"
13966;32.59;0.02;0.0;2547;"2016-04-09 15:51:07"
13967;32.55;0.02;0.0;2547;"2016-04-09 15:51:08"
13968;32.59;0.02;0.0;2547;"2016-04-09 15:51:08"
13969;32.53;1.14;0.0;0;"2016-04-09 15:51:46"
13970;32.59;1.09;0.0;114;"2016-04-09 15:51:46"
13971;32.69;0.05;0.0;0;"2016-04-09 15:52:08"
